_id,UNIT_NO,YEAR,MAKE,MODEL,CATEGORY,CAT_DESC,UNIT_TYPE,CATEGORY_CLASS,CAT_GRP,IN_SERV_DT,STATUS_DESC,CLASS2,HIGH_PRIORITY,OWNER_DIVISION,REF_DIVISION,SEASONAL,AVAILABILITY_YTD
912,048050,2020,DODGE,RAM 1500 (TRADESMAN),5HC2TTUZZZ,PU-1/2T-CC CL2 4X2 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2020-03-17,Active Unit,FLEE,None,PARKS & RECREATION,PARKS & RECREATION,Non Seasonal,0.8379009856630825
913,048051,2020,DODGE,RAM 1500 (TRADESMAN),5HC2TTUZZZ,PU-1/2T-CC CL2 4X2 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2020-03-11,Active Unit,FLEE,None,PARKS & RECREATION,PARKS & RECREATION,Non Seasonal,1
914,048052,2020,DODGE,RAM 1500 (TRADESMAN),5HC2TTUZZZ,PU-1/2T-CC CL2 4X2 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2020-02-04,Active Unit,FLEE,None,PARKS & RECREATION,PARKS & RECREATION,Non Seasonal,0.9670049283154122
915,048053,2020,DODGE,RAM 1500 (TRADESMAN),5HC2TTUZZZ,PU-1/2T-CC CL2 4X2 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2020-10-29,Active Unit,FLEE,None,SOLID WASTE MANAGEMENT,SOLID WASTE MANAGEMENT,Non Seasonal,0.6491481854838709
916,049005,2014,DODGE,RAM 1500,5HS2FTUZZZ,PU-1/2T-SC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2014-08-22,Replacement Program,FLEE,None,PARKS & RECREATION,PARKS & RECREATION,Non Seasonal,1
917,049006,2014,DODGE,RAM 1500,5HS2FTUZZZ,PU-1/2T-SC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2014-08-22,Active Unit,FLEE,None,PARKS & RECREATION,PARKS & RECREATION,Non Seasonal,0.967949708781362
918,049007,2017,DODGE,RAM 1500,5HS2FTUZZZ,PU-1/2T-SC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2016-10-24,Active Unit,FLEE,None,PARKS & RECREATION,PARKS & RECREATION,Non Seasonal,0.9993537186379929
919,049008,2017,DODGE,RAM 1500,5HS2FTUSZZ,PU-1/2T-SC CL2 4X4 10Y UNLEAD SPRDR,LIGHT DUTY,CLASS2,PICKU-1/2T,2016-12-12,Active Unit,FLEE,None,ECO. DEVT. & CULTURE,ECO. DEVT. & CULTURE,Non Seasonal,1
920,049009,2019,DODGE,RAM 1500,5HS2FTUZZZ,PU-1/2T-SC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2020-03-16,Active Unit,FLEE,None,TORONTO WATER,TORONTO WATER,Non Seasonal,0.9017019489247312
921,049010,2019,DODGE,RAM 1500,5HS2FTUZZZ,PU-1/2T-SC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2020-04-03,Active Unit,FLEE,None,TORONTO WATER,TORONTO WATER,Non Seasonal,0.9900884856630825
