_id,UNIT_NO,YEAR,MAKE,MODEL,Specialized units,REF_USING_DIV,Utilization
221,095170,2020,FORD,TRANSIT CONN,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
222,095183,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
223,095184,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
224,095185,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
225,095186,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
226,095187,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
227,095188,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
228,095189,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
229,095190,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
230,095191,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
231,095192,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
232,095193,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
233,095194,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
234,095195,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
235,095196,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
236,095197,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
237,095198,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
238,095199,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
239,095200,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
240,095201,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
241,095202,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
242,095203,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
243,095204,2021,DODGE,RAM PROMASTER CITY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
244,095213,2022,FORD,TRANSIT CONN,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
245,095215,2022,FORD,TRANSIT CONN,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
246,095216,2022,FORD,TRANSIT CONN,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
247,095231,2023,FORD,TRANSIT CONN,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
248,095236,2024,DODGE,CARAVAN,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
249,095237,2024,DODGE,CARAVAN,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
250,095239,2026,CHRYSLER,PACIFICA PHEV,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
251,095240,2026,CHRYSLER,PACIFICA PHEV,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
